checked,sentiment,confidence_neg,confidence_pos,confidence_neu
국가 전복 내란선동죄 이석기 가석방 김정은 원수님이라 칭하며 혈서로 충서 서약까지 한 이로 북한 혁명가를 부르며 이번 저유시설 외 국가 주요 시설 폭파 계획으로 형량 한명숙 사면 온갖 부정부패를 행한 자로 사상 또한 북한 충성파 이들을 묶어서 사면 대단한 공산정권이다,negative,0.99912554,0.00043218915,0.00044219775
아니 어떻게 이석기를 석방시킬 수가 있냐고,negative,0.6403937,0.0009946093,0.35861164
빨갱이 석방하면서 끼워팔기,negative,0.9991666,0.00033275894,0.0005006005
내란선동 이석기를 석방하다니 그러니깐 빨갱이 빨갱이 그러는 거지,negative,0.99920195,0.0004471267,0.00035096583
잘 생각들 하세요 박근혜 사면이 이슈가 아니라 이석기 한명숙 사면 복권이 중요한 겁니다 그걸 덮으려 박근혜를 헤드라인으로 해서 가리는 겁니다 박근혜란 이슈로 간첩 이석기와 비리 총리 한명숙을 조용히 빼돌리는 사건입니다 그래서 안철수는 화난 겁니다,negative,0.002621757,0.00047138528,0.9969068
됐고 이석기 사면이나 취소해라,negative,0.9987845,0.00022212401,0.0009933806
노란 마스크는 맘에 드는 정치가 누가 있는지 더 궁금하네 물론 지겠지 이제 신물이 난다 노란색만 봐도 올라온다 이 세상 노란색만 보면 화가 난다,negative,0.5731113,0.0062037134,0.42068502
이번 이석기 한명숙 박근혜 전 대통령 사면은 문재인의 고도의 정치술수이다 이석기 사면으로 정의당으로 가야 할 통진당 표를 분산시키고 박근혜 사면으로 윤석열과 친박의 보수우파 내부 분열을 조장시키고 한명숙 복권으로 586을 비롯 민주당의 단합을 촉진시키는 한편 임기 후위 검찰 소환에 대한 보험 용이다,negative,0.9990145,0.00038935954,0.0005961748
박근혜 보다 멍청한 윤석열이 대신 감옥 가라,negative,0.99862385,0.0008570743,0.0005190037
다스가 명박이 건데 거기에 현대 일감 몰아주기 한 건데 그게 무슨 정치보복수사인가 다스가 누구건 지는 대선전부터 파고 있는데 일관되게 아니라고 했다 즉 허위사실 유포 위증죄도 포함된다 위법을 하고도 전직 대통이니 처벌하지 말라는 건가,negative,0.9986462,0.00018060049,0.0011732726
심상정 씨는 정치가로서의 자질이 없군요,negative,0.9990637,0.0005741297,0.00036218364
진보라고 하는 자들 진보요 투 더 들 모두 이낙연에게 사과를 하라  이낙연의 사면을 주장할 때 벌떼처럼 달려들어 이낙연을 몰아냈다 문재인은 되고 이낙연이 하면 안 되나  이런 논리는 국민의 힘과 너무나 같다  문재인은 사임을 하라 무능한 지도자 소신도 없는 지도자 진작 잘못만 인정하면 사면을 하겠다고 했으면 될 일이었지  문재인 당신은 정말 무능한 자이다,negative,0.9249019,0.00086187763,0.074236214
심상정 씨 박근혜는 사람은 안 죽였는데 대장동에서는 사람이 계속 죽어 나가는데 누가 더 큰 죄를 지었소 박근혜 가 4 년 6 개월 이상 감방에 가뒀으면 대장동 그분은 대체 몇 년 가둬야 되나요,negative,0.9985714,0.0002759806,0.001152652
박근혜 사면  국진 분열,negative,0.9988481,0.00036936588,0.00078254746
참 대통령 박근혜 그렇게 이용해먹더니 마지막까지 이용해먹네 악마도 문재인 너한테 질릴 거다,negative,0.9992741,0.00036874702,0.00035717527
좌파언론들을 처단해야 한다 그때 얼마나 엉터리 뉴스를 내보냈던가 박 대통령이 세월호 때 누구와 밀회를 어쩌고저쩌고 하질 않나 정 유라가 최순실 딸이 아니라 박 대통령 딸이라고 하질 않나 최순실 재산이 수백 조가 유럽에 있다고 하질 않나 순 뻥을 하루 종일 씨 그리고 그걸 그대로 믿었던 사람들 언론이 문제였어 지금도 그렇고 좌파와 배신이 들,negative,0.99906665,0.0004946641,0.0004387832
왜 지금 사면을 문재인 정말 나쁜 놈이다 하려면 적어도 2년 전쯤 했으니 했고 지금은 때가 아니다 정말 나쁜 놈 문재인,negative,0.999022,0.0003746759,0.00060337305
문 씨가 자기 앞날도 걱정되었던 모양이네,negative,0.9989512,0.0005051435,0.00054364285
박근혜 대통령은 무슨 죄목으로 이렇게 오래 붙잡아놓았는가 듣도 보도 못했던 경제공동체라는 죄를 만들어서 징역살이하게 해놓고 이제 와서 큰 선심이라도 쓰듯이 사면하면서 그에 맞서 빨갱이 이석기와 돈 받아먹은 한명숙과 12 트레이드라도 하겠다는 말인데 결국 이정권 끝나고 나면 정의가 무엇인지 확실히 드러날 것이다,negative,0.99911875,0.0004549216,0.0004262794
죗값 치를 만큼 치렀다 4년 9개월이면 다들 잘 됐다는데 심상정은 왜 집 가정부 남편이나 해방시켜라,negative,0.046312056,0.012300739,0.9413872
문재인 평생 감옥 심상정 90살까지 감옥행,negative,0.9991303,0.00039411624,0.00047556814
철수씨명박이를 왜 풀어줘야는 디,negative,0.99872404,0.0002026394,0.0010732942
선거에 불리하면 연말쯤 박 전 대통령 사면에 보수 분열을 획책하겠구나 했더니 딱 맞아떨어지네 정말 야비하고 몰상식한 독재정권의 장난질에 국민들이 깨어나 쓰러져가는 대한민국을 바로 세울 수 있어야 할 건데 ㅠㅠ,negative,0.99906343,0.00025746814,0.00067913235
아무 죄 없는 사람을 감옥에 처넣고  너는 퇴임 후 무사할 거 같냐 ,negative,0.99929285,0.00033434195,0.00037272586
박근혜 그만하면 됐다고 생각된다 나이도 있고 이제 그만 석방해주는 게 맞을 듯,negative,0.99578047,0.00026739857,0.003952104
박근혜는 사면해도 되지만 이명박 그놈은 절대 사면해선 안된다 박근혜는 모자라서 그런 거고 이명박은 자의적이고 고의적이기 때문,negative,0.9968951,0.0004024821,0.0027023922
이낙연이가 통합을 위해 사면을 주장하니까 그렇게 비난하며 대선후보 탈락에 결정적인 이유로 내세우더니 이제서야 사면  웃음밖에 안 나오네 노빠들이 원하는 건 오로지 경상도 출신만이 대선후보 해야 한다는 썩어빠진 사고방식 때문이 겄지,negative,0.99911803,0.00053822633,0.00034376283
소희야 이 건방진 계집애야 박근혜 씨 친구냐 이놈의 계집애야,negative,0.99915063,0.00045359574,0.00039582685
작전입니다 박근령 대선후보 나와서 박근혜 사면시켜서 국힘당 표를 쪼개기 해서 죄명이 승리한다 민주당의 작전입니다 라에 맞아면 추천 꾹,negative,0.0014909125,0.00082790887,0.99768114
심상정 완전 쓰레기 내 이런 인간을 찍어주는 손가락은 안 부끄럽냐 에라 정의당이 공산당이 아니냐고 깡그리 보내야는데,negative,0.99892837,0.0007059844,0.00036563957
현재 지지하진 않지만 안철수나 홍준표의 입장이 가장 적절하다고 생각됨 윤석열 후보도 인사를 가는 것이 좋을 듯,neutral,0.0006579011,0.0019697938,0.9973724
진짜 이건 아니다 심상정 대선후보님 말씀이 딱,negative,0.9992698,0.0003029612,0.00042726498
이번 결정은 민심이반입니다,negative,0.99884295,0.0003946136,0.0007623798
한명숙 이석기 구색 맞추기  간첩들 풀어 전과자 이 죄 명 선거에 이용해먹을라고,negative,0.99920124,0.00040235673,0.0003964453
맞다 반성도 없는데 사면이라니 이건 국민을 바보로 아는 것이다 문재인 대통령의 잘못된 판단이다 땅을 치고 후회할 것이다 얻을 건 한 개도 없고 양쪽 사방에서 비난만 받을 것이다,negative,0.001481748,0.4463955,0.5521228
박근혜 대통령을 누명 쒸워 감옥에 보낸 놈이 윤석열이다 그런 놈을 국힘당 대통 후보로 만든 국힘당 배신자 머저리들국힘당의 똥파리들과 똥 덩어리 다 꺼져라,negative,0.9987828,0.00044201402,0.00077527587
이러면 광화문에서 촛불 들고 시위한 사람들은 뭐가 되냐  촛불 촛불 노래를 부르더니 결국에는 사면 민당 너희들이 하는 일이 그렇지 ,negative,0.998995,0.00028876564,0.00071626034
그네 석방도 대선에 이용하는구나 내란죄 이석기를 대선 전에 풀어놓고 아수라장 만들기,negative,0.9987521,0.00030200428,0.0009458555
자 문재원 더 가자,negative,0.9992624,0.00028426808,0.0004533632
한명숙 이석기는 차기 정권으로 가면 사면이 어려워지니 문정권 임기 내에 해주긴 해줘야 하겠는데 명목이 없으니 박근혜를 끼워서 물타기 했다는 설이 맞나 보네 박근혜는 어차피 차기 정권에서 사면할 것 같으니 선심 쓰는 것처럼 하면서 다방면으로 활용하는 것이지,negative,0.9990671,0.0003249677,0.00060785364
박근혜 씨라니 기자 나부랭이가 돌았나 너의 정치 성향은 알겠다만 기사에는 공식 명칭을 써야 된단다 기리기야,negative,0.9992021,0.0003290696,0.0004688926
야권 분열은 무슨 빨갱이들을 풀어주었는데 야권 결집이지 이번 대선은 정권교체가 답이다,negative,0.9991033,0.0004098214,0.0004869126
정의당 이년아 당 해체해라 거지 같은 당아 지지율도 거지 같은 게 어디서 유감 소리하고 자빠졌어 못생겨가지고 비 올 때 조심해라 콧구멍으로 빗물 쳐들어간다,negative,0.999209,0.0005001391,0.00029085082
GSGG들 이석기 한명숙 가석방 복권에 박근혜 전 대통령은 표 때문에 구색 갖추려 끼워 넣었구먼,negative,0.9971718,0.00055122725,0.002276972
문재인 씨가 또 꼼수를 쓰네 박근혜 풀어줄 테니 빨갱이 어리석기 한명숙도 봐 달라는 거여 뭐야 동시에 윤석열 엿도 먹이고 말이지 ,negative,0.99928313,0.00032791172,0.00038889193
심상정은 얼굴이 유감 ,negative,0.9986393,0.00033356008,0.0010270902
다시는 민주당 지지를 하지 않으련다 에라,negative,0.99882,0.0002576886,0.00092224823
진즉에 사면했었어야지 말년에 뭔 생색내기인가 박근혜 대통령이 뭔 그리 큰 죄가 있었는가 반드시 정권교체에서 김대중 대통령 때부터 전직 대통령들 깡그리 수사해봐야 한다 심상정 씨는 왜 때마다 나대는지 그동안 한 게 뭐가 있다고 민중당 2중대가,negative,0.0021710522,0.0034348494,0.99439406
심 할머니는 이래서 그릇이 작습니다 이미 은퇴했어야 했는데,negative,0.99950564,0.00014678993,0.00034757238
심상정 잔인하다,negative,0.99892455,0.00043101626,0.0006442972
이낙연만 바보 됐네 민주당에서  사면 카드 때문에 민주당 후보 못됐는데 ,negative,0.99913543,0.00047476013,0.00038985812
박근혜 사면 늦어도 너무 늦었다,neutral,0.0088291615,0.0035828697,0.987588
좌파들의 일그러진 문재원,negative,0.9988549,0.0007430182,0.00040215877
